StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
92,Ripple,Multiple of 8 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=92,1,R,k6*,"p2, k6",*,
92,Ripple,Multiple of 8 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=92,2,W,k1*,"p4, k4",*,"p4,k1"
92,Ripple,Multiple of 8 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=92,3,R,p2*,"k2, p2",*,
92,Ripple,Multiple of 8 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=92,4,W,p1*,"k4, p4",*,"k4,p1"
92,Ripple,Multiple of 8 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=92,5,R,k2*,"p2, k6",*,"p2,k2"
92,Ripple,Multiple of 8 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=92,6,W,p6*,"k2, p6",*,
92,Ripple,Multiple of 8 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=92,7,R,p1*,"k4, p4",*,"k4,p1"
92,Ripple,Multiple of 8 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=92,8,W,k2*,"p2, k2",*,
92,Ripple,Multiple of 8 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=92,9,R,k1*,"p4, k4",*,"p4,k1"
92,Ripple,Multiple of 8 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=92,10,W,p2*,"k2, p6",*,"k2,p2"
