StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
930,"Flying Buttress, Right",Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=930,1,W,"P2, k6, p2"
930,"Flying Buttress, Right",Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=930,2,R,"K2, p5, slip next stitch to dpn and hold in back; k2, then k1 from dpn"
930,"Flying Buttress, Right",Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=930,3,W,"P3, k5, p2"
930,"Flying Buttress, Right",Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=930,4,R,"K2, p4, slip next stitch to dpn and hold in back; k2, then k1 from dpn; k1"
930,"Flying Buttress, Right",Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=930,5,W,"P4, k4, p2"
930,"Flying Buttress, Right",Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=930,6,R,"K2, p3, BC, k2"
930,"Flying Buttress, Right",Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=930,7,W,"P2, k1, p2, k3, p2"
930,"Flying Buttress, Right",Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=930,8,R,"K2, p2, BC, p1, k2"
930,"Flying Buttress, Right",Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=930,9,W,"(P2, k2) twice, p2"
930,"Flying Buttress, Right",Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=930,10,R,"K2, p1, BC, p2, k2"
930,"Flying Buttress, Right",Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=930,11,W,"P2, k3, p2, k1, p2"
930,"Flying Buttress, Right",Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=930,12,R,"K2, BC, p3, k2"
930,"Flying Buttress, Right",Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=930,13,W,"P2, k4, p4"
930,"Flying Buttress, Right",Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=930,14,R,"K1, BC, p4, k2"
930,"Flying Buttress, Right",Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=930,15,W,"P2, k5, p3"
930,"Flying Buttress, Right",Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=930,16,R,"BC, p5, k2"
