StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
932,Figure-Eight Diamond,Multiple of 22 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=932,1,W,"K9, p4, k9"
932,Figure-Eight Diamond,Multiple of 22 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=932,2,R,"P9, slip next 2 stitches to dpn and hold in back; k2, then k2 from dpn; p9"
932,Figure-Eight Diamond,Multiple of 22 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=932,3,W,Knit the knit stitches and purl the purl stitches
932,Figure-Eight Diamond,Multiple of 22 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=932,4,R,"P8, BC, FC, p8"
932,Figure-Eight Diamond,Multiple of 22 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=932,5,W,Knit the knit stitches and purl the purl stitches
932,Figure-Eight Diamond,Multiple of 22 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=932,6,R,"P7, BC, p2, FC, p7"
932,Figure-Eight Diamond,Multiple of 22 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=932,7,W,Knit the knit stitches and purl the purl stitches
932,Figure-Eight Diamond,Multiple of 22 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=932,8,R,"P6, BC, p4, FC, p6"
932,Figure-Eight Diamond,Multiple of 22 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=932,9,W,Knit the knit stitches and purl the purl stitches
932,Figure-Eight Diamond,Multiple of 22 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=932,10,R,"P5, BC, p1, k4, p1, FC, p5"
932,Figure-Eight Diamond,Multiple of 22 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=932,11,W,Knit the knit stitches and purl the purl stitches
932,Figure-Eight Diamond,Multiple of 22 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=932,12,R,"P4, BC, p1, BC, FC, p1, FC, p4"
932,Figure-Eight Diamond,Multiple of 22 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=932,13,W,Knit the knit stitches and purl the purl stitches
932,Figure-Eight Diamond,Multiple of 22 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=932,14,R,"P3, BC, p1, BC, p2, FC, p1, FC, p3"
932,Figure-Eight Diamond,Multiple of 22 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=932,15,W,Knit the knit stitches and purl the purl stitches
932,Figure-Eight Diamond,Multiple of 22 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=932,16,R,"(P2, BC, p2, FC) twice, p2"
932,Figure-Eight Diamond,Multiple of 22 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=932,17,W,Knit the knit stitches and purl the purl stitches
932,Figure-Eight Diamond,Multiple of 22 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=932,18,R,"P1, (BC, p4, FC) twice, p1"
932,Figure-Eight Diamond,Multiple of 22 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=932,19,W,Knit the knit stitches and purl the purl stitches
932,Figure-Eight Diamond,Multiple of 22 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=932,20,R,"P1, k2, p6, slip next 2 stitches to dpn and hold in back; k2 then k2 from dpn; p6, k2, p1"
932,Figure-Eight Diamond,Multiple of 22 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=932,21,W,Knit the knit stitches and purl the purl stitches
932,Figure-Eight Diamond,Multiple of 22 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=932,22,R,"P1, (FC, p4, BC) twice, p1"
932,Figure-Eight Diamond,Multiple of 22 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=932,23,W,Knit the knit stitches and purl the purl stitches
932,Figure-Eight Diamond,Multiple of 22 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=932,24,R,"(P2 FC, p2, BC) twice, p2"
932,Figure-Eight Diamond,Multiple of 22 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=932,25,W,Knit the knit stitches and purl the purl stitches
932,Figure-Eight Diamond,Multiple of 22 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=932,26,R,"P3, FC, p1, FC, p2, BC, p1, BC, p3"
932,Figure-Eight Diamond,Multiple of 22 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=932,27,W,Knit the knit stitches and purl the purl stitches
932,Figure-Eight Diamond,Multiple of 22 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=932,28,R,"P4, FC, p1, FC, BC, p1, BC, p4"
932,Figure-Eight Diamond,Multiple of 22 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=932,29,W,Knit the knit stitches and purl the purl stitches
932,Figure-Eight Diamond,Multiple of 22 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=932,30,R,"P5, FC, p6, BC, p5"
932,Figure-Eight Diamond,Multiple of 22 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=932,31,W,Knit the knit stitches and purl the purl stitches
932,Figure-Eight Diamond,Multiple of 22 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=932,32,R,"P6, FC, p4, BC, p6"
932,Figure-Eight Diamond,Multiple of 22 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=932,33,W,Knit the knit stitches and purl the purl stitches
932,Figure-Eight Diamond,Multiple of 22 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=932,34,R,"P7, FC, p2, BC, p7"
932,Figure-Eight Diamond,Multiple of 22 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=932,35,W,Knit the knit stitches and purl the purl stitches
932,Figure-Eight Diamond,Multiple of 22 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=932,36,R,"P8, FC, BC, p8"
