StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
939,Fast-Traveling Rib,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=939,1,W,"K10, p2"
939,Fast-Traveling Rib,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=939,2,R,"FC, p9"
939,Fast-Traveling Rib,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=939,3,W,"K8, RFC, k1"
939,Fast-Traveling Rib,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=939,4,R,"P2, FC, p7"
939,Fast-Traveling Rib,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=939,5,W,"K6, RFC, k3"
939,Fast-Traveling Rib,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=939,6,R,"P4, FC, p5"
939,Fast-Traveling Rib,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=939,7,W,"K4, RFC, k5"
939,Fast-Traveling Rib,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=939,8,R,"P6, FC, p3"
939,Fast-Traveling Rib,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=939,9,W,"K2, RFC, k7"
939,Fast-Traveling Rib,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=939,10,R,"P8, FC, p1"
939,Fast-Traveling Rib,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=939,11,W,"RFC, k9"
939,Fast-Traveling Rib,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=939,12,R,"P10, k2"
939,Fast-Traveling Rib,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=939,13,W,"P2, k10"
939,Fast-Traveling Rib,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=939,14,R,"P9, BC"
939,Fast-Traveling Rib,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=939,15,W,"K1, RBC, k8"
939,Fast-Traveling Rib,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=939,16,R,"P7, BC, p2"
939,Fast-Traveling Rib,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=939,17,W,"K3, RBC, k6"
939,Fast-Traveling Rib,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=939,18,R,"P5, BC, k4"
939,Fast-Traveling Rib,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=939,19,W,"K5, RBC, k4"
939,Fast-Traveling Rib,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=939,20,R,"P3, BC, p6"
939,Fast-Traveling Rib,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=939,21,W,"K7, RBC, k2"
939,Fast-Traveling Rib,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=939,22,R,"P1, BC, p8"
939,Fast-Traveling Rib,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=939,23,W,"K9, RBC"
939,Fast-Traveling Rib,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=939,24,R,"K2, p10"
