StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
949,Bobble Fans,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=949,1,R,purl
949,Bobble Fans,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=949,2,W,knit
949,Bobble Fans,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=949,3,R,"P7, MB, p7"
949,Bobble Fans,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=949,4,W,"K7, p1-b, k7"
949,Bobble Fans,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=949,5,R,"P4, MB, p2, k1-b, p2, MB, p4"
949,Bobble Fans,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=949,6,W,"K4, p1-b, k2, p1, k2, p1-b, k4"
949,Bobble Fans,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=949,7,R,"P2, MB, p1, FC, p1, k1-b, p1, BC, p1, MB, p2"
949,Bobble Fans,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=949,8,W,"K2, p1-b, k2, (p1, k1) 3 times, k1, p1-b, k2"
949,Bobble Fans,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=949,9,R,"P2, FC, p1, FC, k1-b, BC, p1, BC, p2"
949,Bobble Fans,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=949,10,W,"K3, BC, k1, p3, k1, FC, k3"
949,Bobble Fans,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=949,11,R,"P4, FC, M1, sl 1-k2 tog-psso, M1, BC, p4"
949,Bobble Fans,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=949,12,W,"K5, BC, p1, FC, k5"
949,Bobble Fans,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=949,13,R,"P5, purl into front and back of next stitch, sl 1-k2 tog-psso, purl into front and back of next stitch, p5"
949,Bobble Fans,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=949,14,W,"k7, p1, k7"
949,Bobble Fans,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=949,15,R,purl
949,Bobble Fans,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=949,16,W,knit
