StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
960,Clustered Cable,Multiple of 12 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=960,1,R,P6*,"k6, p6",*,
960,Clustered Cable,Multiple of 12 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=960,2,W,K6*,"p6, k6",*,
960,Clustered Cable,Multiple of 12 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=960,3,R,P6*,"k6, p6",*,
960,Clustered Cable,Multiple of 12 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=960,4,W,K6*,"p6, k6",*,
960,Clustered Cable,Multiple of 12 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=960,5,R,P6*,"slip next 3 stitches to dpn and hold in back; k3, then k3 from dpn; p6",*,
960,Clustered Cable,Multiple of 12 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=960,6,W,K6*,"p6, k6",*,
960,Clustered Cable,Multiple of 12 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=960,7,R,P6*,"k6, p6",*,
960,Clustered Cable,Multiple of 12 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=960,8,W,K6*,"p6, k6",*,
960,Clustered Cable,Multiple of 12 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=960,9,R,K6*,"p6, k6",*,
960,Clustered Cable,Multiple of 12 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=960,10,W,P6*,"k6, p6",*,
960,Clustered Cable,Multiple of 12 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=960,11,R,K6*,"p6, k6",*,
960,Clustered Cable,Multiple of 12 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=960,12,W,P6*,"k6, p6",*,
960,Clustered Cable,Multiple of 12 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=960,13,R,*,"Slip next 3 stitches to dpn and hold in back; k3, then k3 from dpn; p6",*,"slip next 3 stitches to dpn and hold in back; k3, then k3 from dpn"
960,Clustered Cable,Multiple of 12 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=960,14,W,P6*,"k6, p6",*,
960,Clustered Cable,Multiple of 12 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=960,15,R,K6*,"p6, k6",*,
960,Clustered Cable,Multiple of 12 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=960,16,W,P6*,"k6, p6",*,
