StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
966,Basic Lattice,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=966,1,R,"p3, RT*","p6, RT",*,p3
966,Basic Lattice,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=966,2,W,*,Knit the knit stitches and purl the purl stitches,*,
966,Basic Lattice,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=966,3,R,P2*,"BC, FC, p4",*,"BC, FC, p2"
966,Basic Lattice,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=966,4,W,*,Knit the knit stitches and purl the purl stitches,*,
966,Basic Lattice,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=966,5,R,P1*,"BC, p2, FC, p2",*,"BC, p2, FC, p1"
966,Basic Lattice,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=966,6,W,*,Knit the knit stitches and purl the purl stitches,*,
966,Basic Lattice,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=966,7,R,*,"BC, p4, FC",*,
966,Basic Lattice,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=966,8,W,*,Knit the knit stitches and purl the purl stitches,*,
966,Basic Lattice,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=966,9,R,k1*,"p6, LT",*,"p6, k1"
966,Basic Lattice,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=966,10,W,*,Knit the knit stitches and purl the purl stitches,*,
966,Basic Lattice,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=966,11,R,*,"FC, p4, BC",*,
966,Basic Lattice,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=966,12,W,*,Knit the knit stitches and purl the purl stitches,*,
966,Basic Lattice,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=966,13,R,P1*,"FC, p2, BC, p2",*,"FC, p2, BC, p1"
966,Basic Lattice,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=966,14,W,*,Knit the knit stitches and purl the purl stitches,*,
966,Basic Lattice,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=966,15,R,P2*,"FC, BC, p4",*,"FC, BC, p2"
966,Basic Lattice,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=966,16,W,*,Knit the knit stitches and purl the purl stitches,*,
