StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
96,Quaker Ridging,Multiple of 1 stitch,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=96,1,R,knit
96,Quaker Ridging,Multiple of 1 stitch,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=96,2,W,purl
96,Quaker Ridging,Multiple of 1 stitch,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=96,3,R,knit
96,Quaker Ridging,Multiple of 1 stitch,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=96,4,W,purl
96,Quaker Ridging,Multiple of 1 stitch,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=96,5,R,knit
96,Quaker Ridging,Multiple of 1 stitch,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=96,6,W,knit
96,Quaker Ridging,Multiple of 1 stitch,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=96,7,R,knit
96,Quaker Ridging,Multiple of 1 stitch,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=96,8,W,purl
96,Quaker Ridging,Multiple of 1 stitch,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=96,9,R,knit
96,Quaker Ridging,Multiple of 1 stitch,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=96,10,W,purl
96,Quaker Ridging,Multiple of 1 stitch,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=96,11,R,knit
96,Quaker Ridging,Multiple of 1 stitch,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=96,12,W,knit
96,Quaker Ridging,Multiple of 1 stitch,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=96,13,R,purl
96,Quaker Ridging,Multiple of 1 stitch,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=96,14,W,knit
