StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
973,"Traveling Cable, Right",Multiple of 5 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=973,1,R,P1*,"k4, p1",*,
973,"Traveling Cable, Right",Multiple of 5 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=973,2,W,K1*,"p4, k1",*,
973,"Traveling Cable, Right",Multiple of 5 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=973,3,R,P1*,"k4, p1",*,
973,"Traveling Cable, Right",Multiple of 5 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=973,4,W,K1*,"p4, k1",*,
973,"Traveling Cable, Right",Multiple of 5 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=973,5,R,P1*,"BC, p1",*,
973,"Traveling Cable, Right",Multiple of 5 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=973,6,W,K1*,"p4, k1",*,
973,"Traveling Cable, Right",Multiple of 5 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=973,7,R,*,"K4, p1",*,k1
973,"Traveling Cable, Right",Multiple of 5 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=973,8,W,P1*,"k1, p4",*,
973,"Traveling Cable, Right",Multiple of 5 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=973,9,R,*,"K4, p1",*,k1
973,"Traveling Cable, Right",Multiple of 5 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=973,10,W,P1*,"k1, p4",*,
973,"Traveling Cable, Right",Multiple of 5 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=973,11,R,*,"BC, p1",*,k1
973,"Traveling Cable, Right",Multiple of 5 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=973,12,W,P1*,"k1, p4",*,
973,"Traveling Cable, Right",Multiple of 5 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=973,13,R,K3*,"p1, k4",*,"p1, k2"
973,"Traveling Cable, Right",Multiple of 5 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=973,14,W,P2*,"k1, p4",*,"k1, p3"
973,"Traveling Cable, Right",Multiple of 5 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=973,15,R,K3*,"p1, k4",*,"p1, k2"
973,"Traveling Cable, Right",Multiple of 5 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=973,16,W,P2*,"k1, p4",*,"k1, p3"
973,"Traveling Cable, Right",Multiple of 5 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=973,17,R,K3*,"p1, BC",*,"p1, k2"
973,"Traveling Cable, Right",Multiple of 5 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=973,18,W,P2*,"k1, p4",*,"k1, p3"
973,"Traveling Cable, Right",Multiple of 5 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=973,19,R,K2*,"p1, k4",*,p1. k3
973,"Traveling Cable, Right",Multiple of 5 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=973,20,W,P3*,"k1, p4",*,"k1, p2"
973,"Traveling Cable, Right",Multiple of 5 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=973,21,R,K2*,"p1, k4",*,"p1, k3"
973,"Traveling Cable, Right",Multiple of 5 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=973,22,W,P3*,"k1, p4",*,"k1, p2"
973,"Traveling Cable, Right",Multiple of 5 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=973,23,R,K2*,"p1, BC",*,"p1, k3"
973,"Traveling Cable, Right",Multiple of 5 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=973,24,W,P3*,"k1, p4",*,"k1, p2"
973,"Traveling Cable, Right",Multiple of 5 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=973,25,R,K1*,"p1, k4",*,
973,"Traveling Cable, Right",Multiple of 5 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=973,26,W,*,"P4, k1",*,p1
973,"Traveling Cable, Right",Multiple of 5 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=973,27,R,K1*,"p1, k4",*,
973,"Traveling Cable, Right",Multiple of 5 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=973,28,W,*,"P4, k1",*,p1
973,"Traveling Cable, Right",Multiple of 5 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=973,29,R,K1*,"p1, BC",*,
973,"Traveling Cable, Right",Multiple of 5 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=973,30,W,*,"P4, k1",*,p1
