StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
976,Diamond Window,Multiple of 26 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=976,1,W,"K5, p16, k5"
976,Diamond Window,Multiple of 26 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=976,2,R,"P4, BKC, k12, FKC, p4"
976,Diamond Window,Multiple of 26 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=976,3,W,Knit the knit stitches and purl the purl stitches
976,Diamond Window,Multiple of 26 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=976,4,R,"P3, BKC, k4, BPC, FPC, k4, FKC, p3"
976,Diamond Window,Multiple of 26 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=976,5,W,Knit the knit stitches and purl the purl stitches
976,Diamond Window,Multiple of 26 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=976,6,R,"P2, BKC, k4, BPC, p2, FPC, k4, FKC, p2"
976,Diamond Window,Multiple of 26 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=976,7,W,Knit the knit stitches and purl the purl stitches
976,Diamond Window,Multiple of 26 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=976,8,R,"P1, BKC, k4, BPC, p4, FPC, k4, FKC, p1"
976,Diamond Window,Multiple of 26 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=976,9,W,Knit the knit stitches and purl the purl stitches
976,Diamond Window,Multiple of 26 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=976,10,R,"BKC, k4, BPC, p6, FPC, k4, FKC"
976,Diamond Window,Multiple of 26 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=976,11,W,Knit the knit stitches and purl the purl stitches
976,Diamond Window,Multiple of 26 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=976,12,R,"K6, BPC, p8, FPC, k6"
976,Diamond Window,Multiple of 26 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=976,13,W,Knit the knit stitches and purl the purl stitches
976,Diamond Window,Multiple of 26 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=976,14,R,"K6, FKC, p8, BKC, k6"
976,Diamond Window,Multiple of 26 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=976,15,W,Knit the knit stitches and purl the purl stitches
976,Diamond Window,Multiple of 26 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=976,16,R,"FPC, k4, FKC, p6, BKC, k4, BPC"
976,Diamond Window,Multiple of 26 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=976,17,W,Knit the knit stitches and purl the purl stitches
976,Diamond Window,Multiple of 26 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=976,18,R,"P1, FPC, k4, FKC, p4, BKC, k4, BPC, p1"
976,Diamond Window,Multiple of 26 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=976,19,W,Knit the knit stitches and purl the purl stitches
976,Diamond Window,Multiple of 26 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=976,20,R,"P2, FPC, k4, FKC, p2, BKC, k4, BPC, p2"
976,Diamond Window,Multiple of 26 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=976,21,W,Knit the knit stitches and purl the purl stitches
976,Diamond Window,Multiple of 26 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=976,22,R,"P3, FPC, k4, FKC, BKC, k4, BPC, p3"
976,Diamond Window,Multiple of 26 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=976,23,W,Knit the knit stitches and purl the purl stitches
976,Diamond Window,Multiple of 26 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=976,24,R,"P4, FPC, k12, BPC, p4"
