StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *
98,Elongated Rib Check,Multiple of 4 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=98,1,R,k2*,"p2, k2",*
98,Elongated Rib Check,Multiple of 4 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=98,2,W,p2*,"k2, p2",*
98,Elongated Rib Check,Multiple of 4 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=98,3,R,k2*,"p2, k2",*
98,Elongated Rib Check,Multiple of 4 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=98,4,W,p2*,"k2, p2",*
98,Elongated Rib Check,Multiple of 4 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=98,5,R,k2*,"p2, k2",*
98,Elongated Rib Check,Multiple of 4 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=98,6,W,p2*,"k2, p2",*
98,Elongated Rib Check,Multiple of 4 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=98,7,R,p2*,"k2, p2",*
98,Elongated Rib Check,Multiple of 4 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=98,8,W,k2*,"p2, k2",*
98,Elongated Rib Check,Multiple of 4 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=98,9,R,p2*,"k2, p2",*
98,Elongated Rib Check,Multiple of 4 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=98,10,W,k2*,"p2, k2",*
98,Elongated Rib Check,Multiple of 4 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=98,11,R,p2*,"k2, p2",*
98,Elongated Rib Check,Multiple of 4 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=98,12,W,k2*,"p2, k2",*
