StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
994,Little Step,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=994,1,R,*,"P4, K2",*,
994,Little Step,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=994,2,W,*,Knit the knit stitches and purl the purl stitches,*,
994,Little Step,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=994,3,R,*,"P4, K2",*,
994,Little Step,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=994,4,W,*,Knit the knit stitches and purl the purl stitches,*,
994,Little Step,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=994,5,R,P2*,"K2, P4",*,P2
994,Little Step,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=994,6,W,*,Knit the knit stitches and purl the purl stitches,*,
994,Little Step,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=994,7,R,P2*,"K2, P4",*,P2
994,Little Step,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=994,8,W,*,Knit the knit stitches and purl the purl stitches,*,
994,Little Step,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=994,9,R,*,"K2, P4",*,
994,Little Step,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=994,10,W,*,Knit the knit stitches and purl the purl stitches,*,
994,Little Step,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=994,11,R,*,"K2, P4",*,
994,Little Step,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=994,12,W,*,Knit the knit stitches and purl the purl stitches,*,
