StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
996,Mirrored Triangle,Multiple of 7 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=996,1,R,"K6, P1"
996,Mirrored Triangle,Multiple of 7 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=996,2,W,"K2, P5"
996,Mirrored Triangle,Multiple of 7 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=996,3,R,"K4, P3"
996,Mirrored Triangle,Multiple of 7 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=996,4,W,"K4, P3"
996,Mirrored Triangle,Multiple of 7 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=996,5,R,"K2, P5"
996,Mirrored Triangle,Multiple of 7 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=996,6,W,"K6, P1"
996,Mirrored Triangle,Multiple of 7 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=996,7,R,"P1, K6"
996,Mirrored Triangle,Multiple of 7 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=996,8,W,"P5, K2"
996,Mirrored Triangle,Multiple of 7 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=996,9,R,"P3, K4"
996,Mirrored Triangle,Multiple of 7 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=996,10,W,"P3, K4"
996,Mirrored Triangle,Multiple of 7 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=996,11,R,"P5, K2"
996,Mirrored Triangle,Multiple of 7 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=996,12,W,"P1, K6"
