StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
998,Triangles,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=998,1,R,"(p2, K2) twice, P2"
998,Triangles,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=998,2,W,"P1, (K2, P2) twice, P1"
998,Triangles,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=998,3,R,"(K2, P2) twice, K2"
998,Triangles,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=998,4,W,"K1, (P2, K2) twice, K1"
998,Triangles,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=998,5,R,"(p2, K2) twice, P2"
998,Triangles,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=998,6,W,"P1, (K2, P2) twice, P1"
998,Triangles,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=998,7,R,"(K2, P2) twice, K2"
998,Triangles,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=998,8,W,"P1, (K2, P2) twice, P1"
998,Triangles,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=998,9,R,"(p2, K2) twice, P2"
998,Triangles,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=998,10,W,"K1, (P2, K2) twice, K1"
998,Triangles,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=998,11,R,"(K2, P2) twice, K2"
998,Triangles,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=998,12,W,"P1, (K2, P2) twice, P1"
998,Triangles,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=998,13,R,"(p2, K2) twice, P2"
998,Triangles,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=998,14,W,"K1, (P2, K2) twice, K1"
998,Triangles,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=998,15,R,"(K2, P2) twice, K2"
998,Triangles,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=998,16,W,"K1, (P2, K2) twice, K1"
